Source,X,Y
653,31.991211,118.676815
654,32.079994,119.008063
655,32.079283,119.008084
656,32.087720,119.016677
657,32.088150,119.016463
658,32.089013,119.016080
659,32.090404,119.015654
660,32.140499,118.628510
661,31.991429,118.677173
662,31.991812,118.678394
663,32.042656,118.650150
664,32.041894,118.649760
665,32.049759,118.626238
666,31.992804,118.680911
667,32.042681,118.650291
668,31.993297,118.682224
669,32.041130,118.649535
670,32.044455,118.651525
671,31.994085,118.684075
672,32.045579,118.652177
673,31.994172,118.666973
674,31.994539,118.667147
675,32.016673,118.710234
676,32.089607,118.523564
677,31.994933,118.671548
678,31.344112,118.916909
679,31.422749,119.028218
680,31.996018,118.672517
681,31.996936,118.671708
682,31.998077,118.669573
683,31.998360,118.669066
684,31.703480,118.953137
685,32.139141,118.952048
686,31.998595,118.674418
687,31.999629,118.696582
688,32.000118,118.697305
689,32.000368,118.697613
690,32.000504,118.697807
691,32.001028,118.697870
692,31.422882,119.029001
693,32.001236,118.676394
694,32.050058,118.793878
695,32.007452,118.793418
696,32.004810,118.679094
697,32.006232,118.697096
698,32.008093,118.696853
699,32.008271,118.696922
700,32.090806,118.521376
701,32.009487,118.696037
702,32.028840,118.711799
703,32.009529,118.696878
704,32.049746,118.642857
705,32.010078,118.697021
706,32.011647,118.684249
707,32.011444,118.696900
708,32.003256,118.791315
709,32.139339,118.947596
710,32.013014,118.697017
711,31.796743,118.863104
712,32.091797,118.519530
713,32.144395,118.990379
714,31.343651,118.916768
715,32.014131,118.697172
716,32.088399,118.830024
717,31.905426,118.408986
718,32.011063,118.753545
719,32.014638,118.697220
720,32.139472,118.951791
721,32.015237,118.697173
722,32.092315,118.518726
723,32.028854,118.711567
724,32.015774,118.697119
725,32.016606,118.697018
726,32.018429,118.696975
727,32.211924,118.692595
728,31.954707,118.678481
729,32.310569,118.746457
730,32.310566,118.746278
731,32.311447,118.746620
732,32.018894,118.696957
733,32.312303,118.746632
734,32.019649,118.696962
735,32.143333,118.983857
736,32.019779,118.697012
737,32.332848,118.748734
738,32.369959,118.771179
739,32.373601,118.745894
740,32.376408,118.746347
741,31.942552,118.832906
742,31.941443,118.832406
743,31.940213,118.831411
744,31.939940,118.830950
745,31.939523,118.830191
746,31.939280,118.829437
747,31.938729,118.827521
748,32.066264,118.773802
749,31.940935,118.835420
750,31.940923,118.834523
751,31.940914,118.833230
752,31.941000,118.832630
753,31.941150,118.832203
754,31.944454,118.835473
755,31.943853,118.835597
756,31.943284,118.835790
757,32.066235,118.773753
758,32.020555,118.697189
759,31.941604,118.836487
760,31.940929,118.836481
761,31.940398,118.836283
762,31.939888,118.836037
763,31.939451,118.835961
764,32.021761,118.697522
765,31.943647,118.828724
766,31.943809,118.827416
767,32.022387,118.697721
768,31.943735,118.828053
769,31.943280,118.829034
770,32.022939,118.697880
771,31.942779,118.829806
772,31.942576,118.830505
773,32.023441,118.698114
774,31.941779,118.831188
775,31.941389,118.831708
